Date,Time,R1,R2,R3,R4,F1,F2,F3,SP
2024/12/17,08:39:00,5.3,4.8,1.2,2,-19.1,-19.8,-19.1,27.3
2024/12/17,08:40:00,5.4,4.6,1.3,2.1,-19.1,-19.8,-19.1,27.6
2024/12/17,08:41:00,5.4,4.4,1.4,2.1,-19.2,-19.9,-19.1,27.8
2024/12/17,08:42:00,5.4,4.2,1.5,2.2,-19.3,-19.9,-19.1,28.2
2024/12/17,08:43:00,5.4,4,1.5,2.2,-19.5,-20,-19.2,28.6
2024/12/17,08:44:00,5.3,3.8,1.5,2.3,-19.6,-20,-19.2,28.9
2024/12/17,08:45:00,5.2,3.7,1.6,2.3,-19.7,-20.1,-19.3,29.1
2024/12/17,08:46:00,5.2,3.6,1.6,2.4,-19.9,-20.2,-19.4,29.4
2024/12/17,08:47:00,5.1,3.4,1.6,2.4,-20.1,-20.3,-19.4,29.2
2024/12/17,08:48:00,5,3.3,1.6,2.4,-20.3,-20.4,-19.5,29.1
2024/12/17,08:49:00,4.8,3.2,1.6,2.4,-20.4,-20.5,-19.6,29.1
2024/12/17,08:50:00,4.7,3,1.6,2.5,-20.6,-20.6,-19.8,29
2024/12/17,08:51:00,4.6,2.9,1.6,2.5,-20.8,-20.7,-19.9,29.3
2024/12/17,08:52:00,4.5,2.8,1.5,2.5,-20.9,-20.8,-20,29.5
2024/12/17,08:53:00,4.3,2.7,1.5,2.5,-21.1,-21,-20.1,29.7
2024/12/17,08:54:00,4.2,2.6,1.4,2.5,-21.3,-21.1,-20.2,29.3
2024/12/17,08:55:00,4.1,2.6,1.3,2.4,-21.4,-21.2,-20.3,29.3
2024/12/17,08:56:00,4.1,2.5,1.3,2.4,-21.6,-21.3,-20.5,29.3
2024/12/17,08:57:00,4,2.4,1.1,2.4,-21.8,-21.5,-20.6,29.3
2024/12/17,08:58:00,3.9,2.2,1.1,2.4,-21.9,-21.6,-20.8,29
2024/12/17,08:59:00,3.8,2.1,1,2.4,-22.1,-21.8,-20.9,28.8
